TourID_Dimension,TourHasLodging,TourAccommodationName,ProgramsBu,Close Rate Curr,Average Sale Curr,VPGnn Curr,Rescind Vol,Rescind%(Sales),,,,,
329778,TRUE,DoubleTree,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330071,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330074,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330120,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330190,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330230,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330279,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330326,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330419,TRUE,DoubleTree,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330539,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330540,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330610,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330840,TRUE,GL7,Guest Mem,0,$0 ,$0 ,$0 ,0,,,,,
330853,TRUE,,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330860,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
330873,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,"$15,990 ",1,,,,,
331248,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
331349,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
331679,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
331824,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
331868,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
331941,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
331981,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332002,TRUE,Ski Village,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332008,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332251,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332260,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332337,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332391,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332407,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332451,TRUE,GL7,Outbound,1,"$35,640 ","$35,640 ",$0 ,0,,,,,
332459,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332464,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332652,TRUE,Grand Timber,Outbound,1,"$9,540 ","$9,540 ",$0 ,0,,,,,
332813,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332822,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332837,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332841,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332847,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332853,TRUE,Grand Timber,Outbound,1,"$13,682 ","$13,682 ",$0 ,0,,,,,
332894,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
332895,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
333090,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,"$17,490 ",1,,,,,
333155,TRUE,Grand Timber,Outbound,1,"$15,070 ","$30,140 ",$0 ,0,,,,,
333212,TRUE,Breck Inn,Inbound R,0,$0 ,$0 ,$0 ,0,,,,,
333282,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
333551,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
333555,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
333790,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
333792,TRUE,GL7,Outbound,1,"$45,200 ","$45,200 ",$0 ,0,,,,,
333887,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
334065,TRUE,Ski Village,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
334181,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
334187,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
334216,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
334218,TRUE,Ski Village,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
334223,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
334235,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
334531,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
334540,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
